Time (ms)	Resources	Captured	Escaped
5003	9988	0	0
10067	9946	0	0
15169	9894	0	3
20304	9853	0	4
25457	9810	0	8
30593	9769	0	8
35740	9730	0	9
40881	9672	1	9
46029	9618	1	13
51184	9571	1	15
56321	9530	1	19
61448	9484	2	19
66590	9452	3	21
71735	9422	3	23
76868	9383	3	25
82010	9338	3	27
87148	9306	3	29
92294	9264	3	29
97438	9222	5	32
102580	9183	5	35
107706	9144	5	35
112843	9109	5	39
117962	9067	5	39
123104	9005	5	39
128253	8960	6	39
133389	8930	7	43
138531	8888	7	45
143665	8833	7	48
148794	8797	10	49
153925	8777	11	49
159058	8730	11	49
164176	8717	11	53
169282	8696	11	53
174401	8684	11	57
179523	8671	14	57
184635	8639	16	57
189750	8604	17	58
194864	8583	17	59
199943	8543	18	62
205010	8506	18	62
210066	8471	22	62
215126	8423	23	62
220181	8398	23	63
225235	8373	23	65
230352	8322	24	65
235495	8302	26	67
240625	8290	28	67
245765	8255	30	68
250910	8239	30	70
256043	8209	30	70
261177	8164	32	72
266322	8138	32	72
271460	8108	36	72
276596	8073	37	72
281724	8060	37	75
286858	8008	37	75
291999	7986	38	78
297125	7971	39	78
302249	7947	40	78
307373	7893	41	79
312489	7860	41	82
317625	7812	41	86
322745	7787	42	86
327859	7757	44	86
332985	7725	45	86
338104	7698	47	88
343222	7664	47	88
348339	7625	49	91
353459	7593	50	91
358592	7564	51	91
363720	7534	54	92
368846	7498	54	94
373912	7459	54	94
378972	7431	55	97
384085	7405	57	97
389235	7379	57	97
394375	7344	59	99
399505	7333	59	101
404632	7288	60	102
409784	7240	61	103
414917	7205	62	103
420050	7159	62	104
425202	7145	66	106
430346	7112	66	106
435527	7081	68	108
440671	7051	70	108
445807	7039	70	110
450945	7008	73	110
456099	6997	73	111
461243	6938	73	111
466385	6907	75	113
471525	6888	78	113
476652	6860	79	113
481787	6839	80	113
486932	6827	80	116
492067	6791	81	118
497200	6761	83	118
502336	6746	85	118
507476	6725	88	118
512620	6719	89	119
517764	6689	89	119
522901	6631	91	120
528040	6592	92	121
533221	6565	94	121
538367	6536	97	122
543465	6518	98	122
548614	6478	98	122
553680	6446	102	122
558733	6421	105	122
563787	6385	106	122
568840	6373	109	123
573897	6343	109	123
578955	6286	111	124
584017	6250	112	124
589070	6214	114	124
594133	6178	118	126
599207	6157	118	126
604307	6103	121	126
609387	6069	123	126
614467	6056	123	126
619583	6021	124	128
624655	5986	125	131
629734	5966	125	131
634805	5905	128	131
639912	5880	129	131
644983	5855	131	131
650054	5811	133	131
655132	5785	134	133
660201	5759	134	134
665279	5721	137	135
670353	5692	140	135
675432	5678	140	135
680507	5642	142	135
685582	5615	142	137
690667	5602	143	137
695730	5530	146	137
700798	5499	148	137
705873	5477	148	138
710952	5441	152	138
716030	5429	152	140
721111	5414	152	140
726189	5376	154	142
731267	5345	155	142
736332	5330	156	143
741422	5302	159	143
746503	5268	159	144
751572	5241	159	145
756658	5159	161	146
761733	5128	162	146
766810	5101	163	147
771892	5069	167	147
776975	5059	167	148
782061	5044	167	149
787135	4996	171	149
792206	4972	174	149
797275	4963	174	149
802358	4931	178	149
807429	4916	179	149
812502	4890	179	149
817584	4878	181	151
822651	4858	184	151
827728	4843	185	151
832803	4823	189	151
837876	4802	189	151
842954	4767	192	152
848032	4734	196	152
853117	4689	199	152
858198	4677	199	153
863274	4647	199	153
868360	4599	203	153
873444	4578	205	153
878525	4562	206	153
883605	4540	209	153
888686	4526	209	154
893770	4505	209	154
898849	4443	212	156
903930	4398	213	156
908996	4368	214	156
914049	4321	218	157
919103	4305	219	157
924159	4259	219	157
929217	4201	223	157
934269	4167	224	157
939328	4130	225	157
944384	4118	229	159
949439	4113	229	159
954493	4055	232	159
959547	4025	233	160
964600	4010	234	160
969659	3984	237	160
974713	3958	238	162
979768	3942	238	162
984826	3886	240	162
989885	3859	243	163
994941	3848	244	163
1000000	3821	246	163
1005057	3785	247	163
1010112	3773	247	164
1015167	3711	250	164
1020226	3673	252	165
1025283	3658	252	165
1030346	3622	253	165
1035401	3594	254	166
1040455	3575	254	170
1045510	3535	255	173
1050566	3486	257	173
1055623	3438	257	173
1060677	3411	260	174
1065731	3396	260	175
1070791	3382	260	175
1075844	3342	262	178
1080903	3335	264	178
1085962	3324	265	178
1091015	3299	267	178
1096068	3285	268	180
1101123	3275	268	180
1106180	3236	270	181
1111240	3200	274	182
1116296	3180	276	182
1121346	3170	278	182
1126396	3127	278	182
1131462	3108	282	182
1136532	3100	284	182
1141598	3084	285	182
1146666	3061	288	183
1151736	3042	289	183
1156817	3001	290	183
1161893	2977	293	183
1166968	2959	295	183
1172042	2931	296	183
1177115	2908	297	183
1182183	2887	298	184
1187263	2858	299	184
1192343	2833	300	188
1197398	2808	303	188
1202476	2768	304	188
1207548	2748	308	188
1212623	2736	308	188
1217700	2676	312	188
1222768	2655	314	188
1227826	2622	316	188
1232891	2599	320	188
1237953	2593	320	188
1243019	2557	324	188
1248090	2540	325	188
1253144	2528	327	188
1258198	2504	329	188
1263258	2495	331	189
1268319	2485	331	189
1273387	2438	334	190
1278453	2403	336	190
1283554	2390	338	190
1288635	2373	340	190
1293726	2356	341	191
1298804	2306	341	191
1303886	2271	345	191
1308969	2250	348	191
1314054	2224	351	191
1319125	2217	353	191
1324196	2212	353	191
1329274	2160	355	192
1334376	2124	357	193
1339449	2091	358	193
1344525	2055	361	193
1349595	2039	361	195
1354667	2024	361	195
1359756	1979	365	195
1364842	1933	368	195
1369944	1907	369	195
1375023	1880	373	195
1380106	1856	373	195
1385192	1814	376	196
1390261	1782	377	196
1395340	1755	378	196
1400436	1728	382	196
1405512	1721	384	196
1410585	1689	384	196
1415671	1640	387	196
1420744	1604	389	197
1425817	1592	390	197
1430894	1571	394	197
1435999	1561	395	197
1441060	1535	395	197
1446124	1496	400	197
1451178	1466	401	197
1456236	1445	402	197
1461298	1418	406	198
1466355	1401	406	198
1471412	1337	410	198
1476471	1308	413	198
1481526	1296	414	198
1486585	1270	417	198
1491641	1258	418	198
1496695	1241	418	198
1501751	1185	420	199
1506812	1170	423	200
1511872	1153	424	200
1516941	1120	428	200
1522011	1116	428	200
1527088	1077	432	200
1532168	1069	433	200
1537236	1053	433	200
1542314	1020	435	200
1547374	997	437	202
1552427	978	437	202
1557487	932	439	202
1562547	900	442	204
1567601	893	444	204
1572658	867	446	204
1577710	858	448	204
1582774	827	448	204
1587849	781	452	204
1592940	757	454	204
1598015	742	456	204
1603093	702	459	204
1608176	677	459	205
1613253	657	459	205
1618310	610	463	205
1623366	588	466	205
1628422	574	467	205
1633480	539	471	205
1638540	528	471	205
1643596	492	473	207
1648657	464	475	207
1653714	446	476	207
1658769	402	478	207
1663833	360	480	208
1668888	354	480	208
1673949	292	484	208
1679008	247	487	208
1684071	235	488	208
1689135	212	492	208
1694210	205	492	208
1699283	180	493	208
1704348	134	495	210
1709420	96	496	210
1714504	65	500	210
1719583	50	501	210
1724651	43	501	211
